Make,Model,Year,Price,Milage
Oldsmobile,98,1996,21519,52025
Dodge,Intrepid,1993,49907,61116
Lamborghini,Gallardo,2009,71276,77248
Kia,Sedona,2007,6215,97794
Mitsubishi,Truck,1986,86460,14222
Mercedes-Benz,C-Class,2010,13465,90873
Ferrari,612 Scaglietti,2008,92547,74751
Toyota,Tacoma Xtra,2003,72490,40011
Pontiac,Grand Am,1998,41668,87042
Lexus,GX,2011,97576,45995
Volkswagen,Jetta,1985,79317,29041
Pontiac,Grand Am,2003,27163,58448
GMC,Sierra 3500,2001,94686,84815
Mazda,Familia,1988,7998,37763
Chevrolet,Corvette,1959,95817,68686
Toyota,MR2,1986,62326,93040
Mazda,Mazda6,2006,67243,68956
Buick,Roadmaster,1994,90648,66372
Lincoln,Mark LT,2008,15387,30074
Mitsubishi,Truck,1986,43008,92252
Pontiac,Grand Am,1999,73227,52689
Lexus,RX,2004,3122,11733
Plymouth,Volare,1976,85852,23614
Ford,Probe,1995,62060,13456
Chevrolet,Silverado 2500,2006,94558,1346
Mitsubishi,Montero Sport,1998,58399,13548
Toyota,MR2,1994,70094,56544
Saturn,Ion,2004,76022,6599
Mercedes-Benz,W126,1983,74040,39691
Honda,CR-V,2008,94854,41711
Chevrolet,2500,1994,64030,64328
GMC,Yukon XL 1500,2011,44178,99437
BMW,760,2005,32112,33725
Toyota,Paseo,1995,11031,37366
Lincoln,Continental Mark VII,1987,17636,10953
Mazda,B-Series Plus,1997,42556,29098
Lamborghini,Gallardo,2006,40234,95649
Mercedes-Benz,SL-Class,1997,94535,10465
Ford,Edge,2009,63455,54545
Hyundai,Scoupe,1993,48009,92986
BMW,3 Series,2002,48364,90872
Honda,Civic GX,2003,80633,7283
BMW,7 Series,2008,98223,46694
Ford,Tempo,1993,8196,18078
Mazda,Mazda6,2005,1500,97427
Kia,Sephia,1998,38551,97704
Ford,Transit Connect,2012,84837,18948
Porsche,944,1983,18564,24263
BMW,5 Series,1995,55958,22101
Mazda,929,1987,44854,78221
Mercury,Grand Marquis,1994,72996,72352
Volkswagen,Jetta,1991,67577,71831
Mitsubishi,Outlander,2009,77376,81491
Honda,Pilot,2011,12214,30042
Buick,Skylark,1985,85422,49435
Saturn,VUE,2007,97007,41285
Pontiac,Firefly,1990,18012,95545
Ferrari,458 Italia,2011,54005,6285
Pontiac,GTO,1973,7115,9325
Mitsubishi,Chariot,1994,29277,95650
GMC,Sierra 1500,2008,64591,83841
Pontiac,Firebird,1997,69930,16950
Kia,Sorento,2007,96073,91134
Chevrolet,Astro,1997,97664,4810
Mercury,Capri,1991,50902,12742
Toyota,Camry,2002,81944,29341
Dodge,Dakota,1992,75979,82915
GMC,2500 Club Coupe,1996,7676,13965
Dodge,Intrepid,2003,92875,25879
Ford,F150,2007,14327,47351
GMC,Savana,2006,64678,46743
Nissan,Sentra,1993,95541,59156
GMC,Rally Wagon 3500,1994,63926,87382
Pontiac,Grand Prix,1977,93164,44895
Land Rover,Range Rover,2007,43736,7608
Hyundai,Elantra,2011,55635,19526
Buick,LeSabre,1987,32424,81654
Ford,E350,2006,95509,76731
Cadillac,DTS,2007,49956,62943
Ford,Mustang,1999,9643,79104
Volkswagen,New Beetle,1998,70412,97617
Ford,Expedition,1997,55063,76395
Ford,F250,2010,37524,62771
Bentley,Continental,2012,44301,61914
Volkswagen,Type 2,1990,88962,17096
Chrysler,Town & Country,1997,15824,51586
Buick,Electra,1988,69963,52227
Suzuki,SJ,1989,85881,23705
Mercury,Grand Marquis,1984,83260,31877
Dodge,Ram 3500 Club,1997,36142,85675
Cadillac,Eldorado,2002,18071,1333
Jeep,Grand Cherokee,1998,98216,29096
GMC,Yukon XL 2500,2011,60605,16326
Chevrolet,Astro,1993,68795,30810
Mercedes-Benz,S-Class,1986,30684,82168
Aston Martin,V8 Vantage,2008,73596,45002
Mitsubishi,Mirage,2001,77718,48852
Ford,Crown Victoria,2005,28522,90940
Pontiac,Bonneville,2003,87099,80872
Mercury,Sable,1986,66369,57792
Ford,E-Series,1985,40086,47216
Ford,F250,2006,83413,75765
Mazda,MX-6,1992,51808,47681
Isuzu,Rodeo,2002,71812,92668
Honda,Pilot,2004,92338,30803
Lotus,Exige,2006,72241,23504
Mazda,B2000,1985,6940,33949
Chevrolet,Malibu,2005,73029,38444
Kia,Amanti,2009,72848,33465
Dodge,Dakota Club,1992,67313,99921
Dodge,Spirit,1993,17594,12670
Nissan,350Z,2007,2920,44777
Acura,Legend,1992,41333,34708
Volkswagen,Jetta,2011,98764,70675
Chevrolet,Monte Carlo,2001,77197,7392
Chevrolet,Lumina,1992,58830,50893
Audi,A6,1996,90172,55105
Dodge,Ram 2500,2003,71065,28885
Ford,Crown Victoria,1997,77169,83470
Chevrolet,Impala SS,1994,33715,50270
Dodge,D350,1992,31750,39690
Mitsubishi,Galant,2003,18718,41012
Toyota,Highlander,2012,27092,10127
Jeep,Wrangler,2007,12642,15456
Lincoln,MKS,2010,49347,92231
Audi,S4,1994,17373,41720
Jeep,Grand Cherokee,2009,25768,66659
Hyundai,Tucson,2011,47174,77529
Dodge,Ram,2007,4451,5734
Toyota,4Runner,1999,50445,53220
Pontiac,6000,1989,70371,24472
Mitsubishi,Tredia,1986,21053,45885
Mitsubishi,Diamante,2005,71082,44883
Honda,Civic,2000,95175,42296
Isuzu,Trooper,1994,20271,34255
Land Rover,Range Rover,1994,33946,86612
Chrysler,Pacifica,2005,4907,56000
Chrysler,Town & Country,1998,46065,51532
Daewoo,Leganza,1999,61172,65339
Porsche,928,1995,5411,12353
Dodge,Avenger,2012,16716,80844
Mercedes-Benz,R-Class,2010,35785,99679
Mercury,Villager,1993,2768,85144
Subaru,Leone,1985,44318,40953
Ford,Econoline E150,1996,61652,62811
Audi,Q7,2012,13887,14533
GMC,Envoy,2008,75355,9483
Lamborghini,Countach,1989,89840,4699
Toyota,Tacoma,2007,36793,82744
Suzuki,Esteem,1996,96920,40314
Hyundai,Azera,2010,77639,46811
Chevrolet,Malibu,1998,21153,70522
Toyota,Previa,1995,75807,39070
Jeep,Wrangler,2006,33060,18803
Chevrolet,Camaro,1994,14808,97473
Honda,Accord,1984,34300,80250
Pontiac,G6,2008,94886,35217
Chevrolet,Tahoe,2011,62812,24724
BMW,8 Series,1995,37232,46890
Ford,Thunderbird,1994,55840,80827
Ford,F250,2002,82940,44822
Pontiac,Trans Sport,1990,67838,62335
Infiniti,QX,2003,42698,29978
Toyota,Prius,2003,94772,29102
Lexus,IS,2004,67432,7873
Honda,Odyssey,2011,62558,73551
Ford,F350,2011,94080,37418
Honda,Prelude,1997,29448,48699
Suzuki,Grand Vitara,2006,40777,10967
Chrysler,Sebring,1996,19927,74785
Chevrolet,Suburban,2006,2189,27026
GMC,Sierra 1500,2003,19443,99471
Chevrolet,Express 1500,1997,38976,60039
Mercury,Grand Marquis,1998,3354,57343
Toyota,Xtra,1994,51237,79874
Dodge,Ram 3500,1994,72497,52149
Scion,xD,2012,36178,29928
Land Rover,Range Rover,2011,3181,41634
Dodge,Avenger,2009,89521,66147
Chevrolet,Silverado 1500,2012,36966,69083
Isuzu,Oasis,1997,79988,56721
Hyundai,Azera,2012,66501,53177
Mazda,CX-9,2009,96573,55921
Infiniti,G,2009,38320,94862
Dodge,Ram 1500,2006,90595,36033
Ferrari,458 Italia,2011,92245,83692
Volkswagen,Jetta III,1994,74356,95545
Mazda,Navajo,1992,55051,2393
Nissan,Sentra,1997,48856,12881
Pontiac,Firebird,1987,27330,89710
Nissan,Leaf,2012,88800,59095
Porsche,Boxster,2001,4918,31586
Mercedes-Benz,500SEL,1992,91980,35694
Spyker,C8,2006,7879,73560
Ford,E-Series,2002,10649,46022
Subaru,XT,1987,5133,89826
Mazda,Mazdaspeed6,2007,60025,78344
Volvo,V70,2006,79094,10401
Honda,Civic Si,2003,8536,38061
Jaguar,XK Series,2005,84242,75304
Porsche,911,2005,13987,30879
Toyota,Sienna,2001,1989,41678
Subaru,Forester,2000,65803,24807
Mitsubishi,Galant,2011,73937,48686
Dodge,Ram Wagon B350,1993,22605,5100
Saab,9-3,2006,18610,39843
Mercedes-Benz,500E,1992,15099,33821
Honda,CR-V,2012,7602,71214
Chevrolet,Suburban 1500,2001,93583,40529
Ford,Escape,2011,83484,92046
Spyker,C8 Spyder Wide Body,2004,65657,36634
Volvo,XC70,2003,96455,88682
Toyota,Corolla,2003,13860,36910
Pontiac,6000,1987,21086,75877
Honda,Civic,1980,12288,58848
Chevrolet,Cobalt,2009,72727,43929
Mercedes-Benz,SLK-Class,2003,70329,69917
Mitsubishi,Galant,1995,34560,22592
Volkswagen,Phaeton,2004,6476,39192
BMW,8 Series,1993,4144,38288
BMW,Z8,2000,69721,46984
Mitsubishi,Raider,2006,92341,6224
Mazda,Familia,1987,14257,18427
Chrysler,Aspen,2007,23297,67704
Mazda,B-Series Plus,1992,2695,38062
Chevrolet,Corvette,1960,37911,69945
Eagle,Talon,1995,29866,27792
GMC,Savana 1500,2007,61725,79882
Volvo,V50,2011,68497,68718
Acura,TL,1998,19888,20399
Suzuki,Reno,2008,82713,74828
Hyundai,Elantra,1996,39375,24733
Honda,S2000,2004,39889,7141
Nissan,300ZX,1996,76390,61937
Chrysler,LHS,2000,52204,86683
Audi,Quattro,1994,77848,59565
Mercury,Capri,1984,68186,5087
Subaru,Tribeca,2007,4210,84180
Chevrolet,Malibu,2000,4696,63570
Hyundai,Scoupe,1993,71057,60214
Ford,Escape,2010,86176,42485
Chevrolet,Corvette,2006,22519,78511
Maserati,GranTurismo,2010,89716,12148
Audi,A8,2012,31171,46744
Nissan,Frontier,2005,65496,46252
Pontiac,G6,2009,80793,77239
Chevrolet,Express 3500,1998,17831,43904
Toyota,Corolla,2003,90697,95559
Pontiac,Montana,2001,52244,2063
GMC,Yukon,1995,57001,50128
Honda,Civic,1991,34846,754
Geo,Prizm,1994,16603,63540
Mitsubishi,Chariot,1989,7973,55542
Chevrolet,Silverado 2500,1999,63307,21823
Chevrolet,Express 1500,2006,94123,63921
Kia,Sedona,2008,72770,27576
MINI,Cooper,2007,92583,9795
Suzuki,Grand Vitara,2008,52045,43290
Nissan,300ZX,1995,49849,40511
Subaru,Alcyone SVX,1992,19084,45521
Lincoln,MKZ,2009,14557,98208
Chevrolet,Sportvan G10,1992,18003,77320
Rolls-Royce,Phantom,2008,44030,10566
Infiniti,M,2008,8318,99768
Mercedes-Benz,CL-Class,2005,45924,33937
Ram,3500,2012,61882,96144
Chevrolet,Blazer,2004,61471,24100
Ford,F250,2002,23958,38731
Pontiac,G5,2007,31569,43398
Volkswagen,Corrado,1992,9742,74525
Jeep,Commander,2009,48657,4156
Pontiac,Sunbird,1990,82142,42340
Chevrolet,TrailBlazer,2002,92560,98900
BMW,5 Series,1992,96922,59285
Toyota,Avalon,1995,61405,6708
Honda,Accord,2005,54017,59788
Honda,Accord,2009,57212,87295
Volkswagen,Routan,2012,25244,98751
Ford,E150,2003,85259,57821
Subaru,Impreza,2000,78874,33046
Fiat,Nuova 500,2012,72581,54373
Ford,F-Series,1995,45734,59048
Ford,Crown Victoria,1997,25203,56397
Toyota,Highlander,2021,45000,32000
Toyota,Highlander,2021,45000,32000
Toyota,Highlander,2021,45000,32000
VW,Highlander,2021,45000,32000
Toyota,Highlander,2021,45000,32000
